"Month","Close","Open","High","Low"
"Jan-00",16388.27,17098,18099.23,15350
"Feb-00",17660.2,16389.12,18885.84,16389.12
"Mar-00",17820.37,17668.27,19046.51,16922.37
"Apr-00",15537.6,17825.98,17825.98,14029.35
"May-00",14956.61,15596.23,15944.15,13555.61
"Jun-00",16727.95,14967.34,17396.45,14967.34
"Jul-00",16454.6,16746.74,17794.67,16389.99
"Aug-00",17346.7,16474.82,17925.75,16072.74
"Sep-00",15928.39,17359.71,17715.8,15656.58
"Oct-00",14867.23,15949.78,16403.82,13570.68
"Nov-00",13287.39,14857.88,15191.43,13287.39
"Dec-00",15259.29,13303.4,15415.17,13241.57
"1-Jan",17672.77,15242.11,18023.08,15173.61
"1-Feb",15891.41,17670.14,17673.12,15558.28
"1-Mar",14438.45,15890.65,16813.06,13761.25
"1-Apr",14917.54,14441.44,15267.36,13325.13
"1-May",14649.98,14877.14,15304.03,14056.4
"1-Jun",14559.79,14654.43,15644.37,14164.16
"1-Jul",13754.16,14579.3,14771.47,13360.99
"1-Aug",12840.6,13757.49,14142.76,12680.97
"1-Sep",10635.74,12848.99,12947.24,9532.84
"1-Oct",11364.71,10633.44,11924.34,9985.16
"1-Nov",12931.71,11362.01,13790.72,11176.99
"1-Dec",13577.57,12913.88,13969.45,12809.18
"2-Jan",12721.45,13585.79,14412.54,12300.7
"2-Feb",14033.29,12722.73,14251.38,12414.79
"2-Mar",13254.55,14047.42,14495.28,13182.83
"2-Apr",13085.12,13253,13871.7,13031.59
"2-May",12861.43,13088.29,13090.11,11943.26
"2-Jun",11139.16,12858.7,12919.1,10246.96
"2-Jul",9762.59,11137.78,11172.81,9155.37
"2-Aug",10382.2,9781.76,10604.3,9016.73
"2-Sep",8622.54,10382.72,10477.18,8352.3
"2-Oct",10167.71,8642.43,10241.12,8224.61
"2-Nov",10508.81,10172.28,10518.71,9569.19
"2-Dec",11268.47,10516.98,11648.37,10307.17
"3-Jan",10941.09,11290.76,12349.75,10456.63
"3-Feb",10280.61,10943.23,11067.09,9968.08
"3-Mar",11273.63,10262.88,11420.99,10104.25
"3-Apr",12556.7,11282.62,12819.92,11282.62
"3-May",13421.6,12564.69,13564.8,12541.69
"3-Jun",12972.58,13441.01,14072.35,12894.51
"3-Jul",13571.73,12967.27,13946.96,12893.22
"3-Aug",15174.49,13578.72,15252.36,12756.58
"3-Sep",16010.67,15174.49,17104.03,15074.71
"3-Oct",17982.49,16009.83,18659.96,16009.83
"3-Nov",20183.97,17982.8,20187.96,17982.8
"3-Dec",22236.39,20183.97,22310.27,20183.97
"4-Jan",21851.44,22232.53,24518.15,21649.3
"4-Feb",21755.02,21841.74,23374.24,20091.65
"4-Mar",22142.26,21760.52,23372.87,20755.57
"4-Apr",19607.23,22142.26,23260.41,19508.19
"4-May",19544.67,19621.85,20342.1,17601.07
"4-Jun",21148.91,19544.72,21183.47,19176.53
"4-Jul",22336.87,21152.18,22676,20821.24
"4-Aug",22803.19,22341.86,23380.94,21177.53
"4-Sep",23245.24,22802.51,23484.89,21738.88
"4-Oct",23052.18,23245.88,24362.04,22389.55
"4-Nov",25128.33,23049.7,25160.26,22940.68
"4-Dec",26196.25,25129.09,26269.62,24451.57
"5-Jan",24352.94,26193.48,26492.24,23533.84
"5-Feb",28139.13,24392.09,28778.4,24073.23
"5-Mar",26610.65,28135.07,29584.21,25760.87
"5-Apr",24843.7,26612.16,27178.18,24154.13
"5-May",25207.07,24847.23,25808.21,23679.65
"5-Jun",25051.21,25209.31,26755.09,24224.34
"5-Jul",26042.36,25051.21,26305.77,24192.36
"5-Aug",28044.83,26042.36,28071.81,25733.64
"5-Sep",31583.79,28043.51,31583.79,27798.63
"5-Oct",30193.51,31581.5,32051.51,28161.24
"5-Nov",31916.76,30193.51,32350.47,29948.18
"5-Dec",33455.94,31920.61,33837.27,31920.61
"6-Jan",38382.8,33461.54,38803.99,32860.17
"6-Feb",38610.39,38382.33,38978.05,35891.24
"6-Mar",37951.97,38610.39,39394.91,36084.5
"6-Apr",40363.42,37951.97,40424.95,37816.41
"6-May",36530.04,40364.79,42061.59,34911.34
"6-Jun",36630.66,36531.41,38437.12,32057.32
"6-Jul",37077.12,36628.58,37600.63,34590.83
"6-Aug",36232.22,37077.12,38172.37,35122.96
"6-Sep",36449.4,36232.22,37739.46,34127.48
"6-Oct",39262.79,36450.33,39843.16,36437.55
"6-Nov",41931.84,39278.99,42308.39,39278.99
"6-Dec",44473.71,41929.93,44674.75,41192.16
"7-Jan",44641.6,44476.48,45387.98,41266.21
"7-Feb",43892.31,44642.33,46752.13,42570.93
"7-Mar",45804.66,43886.08,45949.59,41117.02
"7-Apr",48956.39,45804.66,49856.49,45225.23
"7-May",52268.46,48954.51,52877.49,48952.66
"7-Jun",54392.06,52270.96,55003.28,50884.5
"7-Jul",54182.5,54396.23,58292.88,52627.44
"7-Aug",54637.24,54170.45,55615.84,44937.65
"7-Sep",60465.06,54641.11,61054.34,52320.99
"7-Oct",65317.7,60465.06,65948.88,59472.98
"7-Nov",63006.16,65316.79,65316.86,58095.92
"7-Dec",63886.1,63018.43,66528.63,59414.24
"8-Jan",59490.4,63884.68,63906.07,53010.96
"8-Feb",63489.3,59490.9,66005.16,58029.7
"8-Mar",60968.07,63496.48,65044.79,57824.19
"8-Apr",67868.45,60965.07,68037.83,60965.07
"8-May",72592.5,67868.88,73920.38,67865.02
"8-Jun",65017.58,72592.5,72592.5,63688.9
"8-Jul",59505.17,65017.58,65017.58,56417.98
"8-Aug",55680.41,59505.17,59505.17,52344.56
"8-Sep",49541.27,55665.33,55665.33,43766.34
"8-Oct",37256.84,49537.66,49833.82,29435.11
"8-Nov",36595.87,37260.65,41002.95,31080.99
"8-Dec",37550.31,36595.87,40497.88,33798.48
"9-Jan",39300.79,37550.31,42525.21,36743.71
"9-Feb",38183.31,39296.48,43441.48,37324.44
"9-Mar",40925.87,38179.79,42679.98,35721.83
"9-Apr",47289.53,40917.9,48125.73,40256.17
"9-May",53197.73,47289.53,53805.93,47289.53
"9-Jun",51465.46,53202.37,54955.23,49130.02
"9-Jul",54765.72,51464.03,55083.23,48261.84
"9-Aug",56488.98,54765.65,58633.67,54765.65
"9-Sep",61517.89,56489.4,62017.03,55338.92
"9-Oct",61545.5,61518.95,67529.9,59677.9
"9-Nov",67044.44,61539.2,68059.62,60723.96
"9-Dec",68588.41,67050.75,69785.41,65925.19
"10-Jan",65401.77,68587.16,71068.05,64541.49
"10-Feb",66503.27,65402.25,68119.58,61341.11
"10-Mar",70371.54,66510.94,70486.15,66510.94
"10-Apr",67529.73,70374.54,71989.18,65914.2
"10-May",63046.51,67533.75,67968.73,57633.9
"10-Jun",60935.9,63033.1,65830.86,60935.9
"10-Jul",67515.4,60934.58,67608.09,60055.71
"10-Aug",65145.45,67523.94,68753.77,63803.94
"10-Sep",69429.78,65154.26,69736.76,65154.26
"10-Oct",70673.3,69438.23,72139.59,68847.04
"10-Nov",67705.4,70686.21,73103.28,67102.94
"10-Dec",69304.81,67731.17,70589.07,66947.65
"11-Jan",66574.88,69309.98,71923.84,65897.65
"11-Feb",67383.22,66574.88,68225.66,64016.36
"11-Mar",68586.7,67380.7,68606.06,65463.02
"11-Apr",66132.86,68588.06,70107.71,65105.31
"11-May",64620.08,66119.4,66500.26,61658.74
"11-Jun",62403.64,64616.35,64978.78,60489.27
"11-Jul",58823.45,62403.64,63891.31,58009
"11-Aug",56495.12,58823.45,59541.92,47793.49
"11-Sep",52324.42,56498.24,58589.26,51897.35
"11-Oct",58338.39,52319,59901.47,49432.89
"11-Nov",56874.98,58300.3,59616.35,54537.4
"11-Dec",56754.08,56876.07,59575.99,55298.33
"12-Jan",63072.31,56755.13,63804.73,56649.27
"12-Feb",65811.73,63085.06,66661.66,63085.06
"12-Mar",64510.97,65811.96,68969.99,64095.7
"12-Apr",61820.26,64514.56,65593.15,60897.25
"12-May",54490.41,61820.26,62782.95,53028.11
"12-Jun",54354.63,54488.05,57611.46,52271.27
"12-Jul",56097.05,54355.43,57465.94,52212.92
"12-Aug",57061.45,56091,60208.85,55239.02
"12-Sep",59175.86,57065.06,63428.28,56202.5
"12-Oct",57068.18,59171.24,60411.52,56580.85
"12-Nov",57474.57,57065.39,59560.83,55125.56
"12-Dec",60952.08,57479.38,61322.17,57128.67
"13-Jan",59761.49,60990.34,63472.55,59114.02
"13-Feb",57424.29,59764.49,60496.05,55430.26
"13-Mar",56352.09,57422.21,59472.49,54647.97
"13-Apr",55910.37,56348.07,56975.82,52391.52
"13-May",53506.08,55918.73,57098.62,52942.22
"13-Jun",47457.13,53512.25,54289.07,45405.94
"13-Jul",48234.49,47457.9,49669.15,44107.06
"13-Aug",50011.75,48235,52398.44,47164.25
"13-Sep",52338.19,50012.33,55900.01,50012.33
"13-Oct",54256.2,52337.32,56747.03,51870.33
"13-Nov",52482.49,54255.03,54538.63,51290.28
"13-Dec",51507.16,52479.11,52479.11,49842.31
"14-Jan",47638.99,51522.19,51656.14,46813.69
"14-Feb",47094.4,47622.76,48669.22,46109.45
"14-Mar",50414.92,47092.24,50417.58,44904.83
"14-Apr",51626.69,50412.05,53393.57,49773.62
"14-May",51239.34,51630.28,54459.39,51239.34
"14-Jun",53168.22,51239.34,55283.71,51239.34
"14-Jul",55829.41,53170.46,58138.03,52734.67
"14-Aug",61288.15,55827.37,61442.93,55238.61
"14-Sep",54115.98,61294.48,62304.88,53536.38
"14-Oct",54628.6,54115.21,58897.45,48722.29
"14-Nov",54724,54628.6,57359.27,50885.65
"14-Dec",50007.41,54719.47,54719.47,45852.81
"15-Jan",46907.68,50004.5,50281.33,46484.32
"15-Feb",51583.09,46933.49,52457.05,46760.19
"15-Mar",51150.16,51579.99,52318.75,47904.85
"15-Apr",56229.38,51186.27,56965.16,51186.27
"15-May",52760.47,56230.03,58574.79,52760.47
"15-Jun",53080.88,52752.9,54360.79,52548.19
"15-Jul",50864.77,53080.88,53456.4,48624.14
"15-Aug",46625.5,50866.9,50866.9,42749.2
"15-Sep",45059.3,46625.1,49395.6,43766.6
"15-Oct",45868.8,45064.3,49752,44788.9
"15-Nov",45120.4,45868.8,49054.4,45105.9
"15-Dec",43350,45121.1,47142.4,43137
"16-Jan",40406,43348.9,43348.9,37046.1
"16-Feb",42793.9,40396.5,43601.3,38596.2
"16-Mar",50055.3,42795.2,52261.9,42795.2
"16-Apr",53910.5,50054.4,54977.7,47873.7
"16-May",48471.7,53909.5,54112.8,48291.5
"16-Jun",51526.9,48468.2,51811.6,48066.7
"16-Jul",57308.2,51540.2,57473.8,50825
"16-Aug",57901.1,57309.2,59417.9,55695.5
"16-Sep",58367,57901.5,60310.5,56459.1
"16-Oct",64924.5,58370.2,65054.4,58366.5
"16-Nov",61906.4,64921.9,65291.1,58322.3
"16-Dec",60227.3,61906.4,61935.7,56828.6
"17-Jan",64670.8,60227.3,66593.6,59370.9
"17-Feb",66662.1,64686.9,69487.6,63740
"17-Mar",64984.1,66661.3,67397.9,62496.2
"17-Apr",65403.2,64989.2,66211.2,62826.3
"17-May",62711.5,65404,68791.9,60314.7
"17-Jun",62900,62711.5,63636.6,60543.6
"17-Jul",65920.4,62900.9,66048,62035.1
"17-Aug",70835.1,65925.1,71505.7,65925.1
"17-Sep",74293.5,70848.2,76419.6,70846
"17-Oct",74308.5,74294.5,78024.1,73845.2
"17-Nov",71971,74310.3,75199.3,70824.9
"17-Dec",76402.1,71955.3,76436.9,71356.4
"18-Jan",81219.5,76402.6,81423.39,76402.6
