"Month","Close","Open","High","Low"
"Jan-00",7771.66,7771.66,7771.66,7771.66
"Feb-00",7287.01,7287.01,7287.01,7287.01
"Mar-00",7388.34,7388.34,7388.34,7388.34
"Apr-00",6913.24,6913.24,6913.24,6913.24
"May-00",6921.37,6921.37,6921.37,6921.37
"Jun-00",7304.22,7304.22,7304.22,7304.22
"Jul-00",7382.12,7382.12,7382.12,7382.12
"Aug-00",8145.43,8145.43,8145.43,8145.43
"Sep-00",7957.59,7957.59,7957.59,7957.59
"Oct-00",7931.3,7931.3,7931.3,7931.3
"Nov-00",7576.66,7576.66,7576.66,7576.66
"Dec-00",8038.84,8038.84,8038.84,8038.84
"1-Jan",8820.31,8820.31,8820.31,8820.31
"1-Feb",8827.48,8827.48,8827.48,8827.48
"1-Mar",7977.67,7977.67,7977.67,7977.67
"1-Apr",8804.06,8804.06,8804.06,8804.06
"1-May",9185.95,9185.95,9185.95,9185.95
"1-Jun",8943.15,8943.15,8943.15,8943.15
"1-Jul",8257.75,8257.75,8257.75,8257.75
"1-Aug",8682.66,8682.66,8682.66,8682.66
"1-Sep",7741.55,7741.55,7741.55,7741.55
"1-Oct",8104.41,8104.41,8104.41,8104.41
"1-Nov",8993.47,8993.47,8993.47,8993.47
"1-Dec",10074.38,10074.38,10074.38,10074.38
"2-Jan",10025.45,10025.45,10025.45,10025.45
"2-Feb",10632.71,10632.71,10632.71,10632.71
"2-Mar",10766.34,10766.34,10766.34,10766.34
"2-Apr",10660.26,10660.26,10660.26,10660.26
"2-May",10798.01,10798.01,10798.01,10798.01
"2-Jun",10233.44,10402.19,10580.53,10007.74
"2-Jul",8768.15,10233.44,10270.47,8721.94
"2-Aug",9225.96,8768.15,9437.83,8214.5
"2-Sep",8991.75,9225.96,9539.76,8834.99
"2-Oct",8850.29,8991.75,9324,8579.05
"2-Nov",8991.88,8850.29,9326.77,8552.41
"2-Dec",8682.03,8991.88,9085.51,8361.48
"3-Jan",8183.21,8682.03,9121.74,8177.92
"3-Feb",7796.61,8183.21,8374.78,7633.01
"3-Mar",7095.78,7796.61,7849.76,7039.65
"3-Apr",6924.49,7095.78,7508.53,6725.67
"3-May",7940.13,6924.49,8058.31,6921.14
"3-Jun",7680.74,7940.13,8339.45,7566.25
"3-Jul",8088.21,7680.74,8196.17,7594.36
"3-Aug",8470.33,8088.21,8645.25,7972.63
"3-Sep",8167,8470.33,8911.6,8167
"3-Oct",8966.62,8167,9145.68,8100.73
"3-Nov",8884.73,8966.62,9194.61,8656.74
"3-Dec",9495.76,8884.73,9551.8,8713.01
"4-Jan",9953.72,9495.76,10243.36,9421.74
"4-Feb",10005.41,9953.72,10149.51,9709.88
"4-Mar",9773.27,10005.41,10410.3,9569.91
"4-Apr",9455.17,9773.27,10088.05,9450.44
"4-May",9525.95,9455.17,9681.26,8672.39
"4-Jun",9200.62,9525.95,9613.46,9081.93
"4-Jul",9405.23,9200.62,9408.68,8939.1
"4-Aug",10242,9405.23,10303.96,9197.78
"4-Sep",10780.46,10242,10831.5,10140.25
"4-Oct",10556.09,10780.46,11179.88,10444.79
"4-Nov",11283.33,10556.09,11402.87,10556.09
"4-Dec",11405.72,11283.33,11436.49,10890.72
"5-Jan",11530.91,11405.72,11612.42,11190.71
"5-Feb",12188.73,11530.91,12214.65,11530.08
"5-Mar",12083.3,12188.73,12523.36,11921.5
"5-Apr",11324.02,12083.25,12227.66,11227.63
"5-May",12518.6,11324,12664.4,11324
"5-Jun",12859.2,12518.6,13085.5,12518.6
"5-Jul",13725.8,12859.2,13901.7,12716.7
"5-Aug",13949.5,13725.8,14429.5,13688.7
"5-Sep",15363.6,13949.5,15363.6,13929.7
"5-Oct",14946.05,15363.6,15366.7,13922.44
"5-Nov",15228.83,14946.05,16005.59,14859.44
"5-Dec",16438.05,15228.83,16685.92,15172
"6-Jan",17886.18,16438.05,18025.68,16174.46
"6-Feb",17125.19,17886.18,18448.05,16747.62
"6-Mar",18314.78,17125.19,18741.51,16355.15
"6-Apr",19074.99,18314.78,19311.9,18314.78
"6-May",18660.12,19074.99,20260.37,17697.48
"6-Jun",19538.32,18660.12,19681.58,16439.71
"6-Jul",19127.38,19538.32,19897.23,18347.97
"6-Aug",20093.68,19127.38,20319.43,18602.64
"6-Sep",20495.74,20093.68,20848.6,18983.15
"6-Oct",21298.54,20495.74,21690.81,20317.4
"6-Nov",21758.65,21298.54,22112.21,20967.16
"6-Dec",22607.16,21758.65,22774.73,21230.69
"7-Jan",22941.71,22607.16,23166.07,21691.95
"7-Feb",23176.03,22941.71,24332.85,22876.17
"7-Mar",24590.2,23176.03,24606.28,22214.78
"7-Apr",25231.65,24590.2,25757.41,24425.38
"7-May",25701.4,25231.65,26114.22,24815.75
"7-Jun",25564.57,25701.4,26904.57,25005.53
"7-Jul",25846.41,25564.57,27271.22,24985.92
"7-Aug",25983.13,25846.41,26034.3,22886.68
"7-Sep",27267.58,25983.13,27517.55,25488.49
"7-Oct",28477.05,27267.58,28957.74,27244.24
"7-Nov",27629.35,28477.05,28675.83,25888.68
"7-Dec",26250.29,27629.35,28026.55,25091.32
"8-Jan",25117.79,26250.29,26969.62,21761.72
"8-Feb",28347.86,25117.79,28402.6,24721.1
"8-Mar",27409.99,28347.86,29015.53,26067.17
"8-Apr",28675.37,27409.99,30064.1,27147.34
"8-May",29939.96,28675.37,31393.1,28675.37
"8-Jun",28708.09,29939.96,30330.49,27902.54
"8-Jul",25779.21,28708.09,28828.58,24941.41
"8-Aug",25556.75,25779.21,26044.58,23511.11
"8-Sep",21746.97,25556.75,25556.75,20316.45
"8-Oct",19080.13,21746.97,22010.54,16122.96
"8-Nov",19346.28,19080.13,20376.62,15852.92
"8-Dec",19444.4,19346.28,20472.4,17183.38
"9-Jan",18519.77,19444.4,20958.16,17331.56
"9-Feb",16514.3,18519.77,19685.59,16287.75
"9-Mar",18441.62,16514.3,19751.09,16038.07
"9-Apr",18514.32,18441.62,19615.08,17670.58
"9-May",20605.38,18514.32,20720.48,18514.32
"9-Jun",19819.52,20605.38,21691.99,19284.49
"9-Jul",21855.8,19819.52,21891.65,19404.71
"9-Aug",22388.89,21855.8,22927.02,21584.62
"9-Sep",22284.39,22388.89,23526.36,21889.05
"9-Oct",23655.66,22284.39,24285.12,21746.8
"9-Nov",24357.77,23655.66,25058.25,22896.62
"9-Dec",24996.97,24357.77,25305.36,24094.54
"10-Jan",24041.26,24996.97,25936.7,23777.55
"10-Feb",23994.59,24041.26,24728.95,23062.53
"10-Mar",25833.44,23994.59,26103.24,23994.59
"10-Apr",25629.93,25833.44,26547.87,25285.57
"10-May",24157.99,25629.93,25702.02,22913.93
"10-Jun",23294.83,24157.99,25208.77,23052.67
"10-Jul",25224.6,23294.83,25647.99,23014.23
"10-Aug",24127.05,25224.6,25799.38,23367.46
"10-Sep",26154.31,24127.05,26177.52,24127.05
"10-Oct",27053.68,26154.31,27217.56,25888.17
"10-Nov",26844.52,27053.68,28421.73,26831.89
"10-Dec",28639.4,26844.52,28775.4,26844.52
"11-Jan",28145.34,28639.4,29354.72,27873.19
"11-Feb",29077.83,28145.34,30195.81,28145.34
"11-Mar",29037.48,29077.83,29367.65,26861.12
"11-Apr",29564.28,29037.48,29677.1,28163.42
"11-May",29274.06,29564.28,29599.43,27963.73
"11-Jun",28551.82,29274.06,29285.19,26991.65
"11-Jul",27857.91,28551.82,29073.27,27628.48
"11-Aug",27682.28,27857.91,28138.9,25092.87
"11-Sep",26375.82,27682.28,28329.37,26046.07
"11-Oct",29019.06,26375.82,29566.8,25624.37
"11-Nov",29429.88,29019.06,29490.35,27428.2
"11-Dec",28469.81,29429.88,29591.02,28044.9
"12-Jan",30176.19,28469.81,30528.24,28466.34
"12-Feb",30546.69,30176.19,30834.94,30005.76
"12-Mar",29603.42,30546.69,30710.5,29413.9
"12-Apr",30364.59,29603.42,30451.65,29216.98
"12-May",29201.9,30364.59,30624.7,28802.9
"12-Jun",29638.01,29201.9,30799.88,28887.74
"12-Jul",30386.61,29639.28,30855.97,29235.11
"12-Aug",31172.74,30384.11,31714.23,30384.11
"12-Sep",31518.32,31175.42,32381.54,30714.97
"12-Oct",33008.2,31518.39,33129.06,31504.78
"12-Nov",33872.69,33004.63,33872.69,32571.66
"12-Dec",34795.5,33865.78,35042.41,33667.04
"13-Jan",36103.45,34798.35,36368.25,34798.35
"13-Feb",35254.76,36102.9,36568.09,34583.9
"13-Mar",35259.1,35237.41,36521.93,35144.55
"13-Apr",34068,35260.72,35503.69,33156.72
"13-May",37599.86,34064.93,37801.5,34027.38
"13-Jun",35051.49,37505.04,37505.04,33515.51
"13-Jul",36843.05,35051.49,36843.05,34614.14
"13-Aug",37863.93,36843.05,38973.55,36831.69
"13-Sep",39449.84,37863.93,39993.61,37848.16
"13-Oct",40658.55,39449.84,40842.11,38069.25
"13-Nov",40169.32,40658.55,41473.92,39174.67
"13-Dec",41482.39,40169.32,41518.71,38246.12
"14-Jan",40586.73,41482.39,42638.18,40420.87
"14-Feb",42771.61,40586.73,43178.99,39645
"14-Mar",42996.63,42771.61,43434.57,41436.92
"14-Apr",43804.68,42996.63,44048.53,42857
"14-May",44641.55,43804.68,45084.83,43615.26
"14-Jun",45969.81,44641.55,46409.62,44636.36
"14-Jul",46222.43,45969.81,47143.71,45622.47
"14-Aug",45630.44,46222.43,46655.33,45118.17
"14-Sep",44160.31,45630.44,46674.59,43958.24
"14-Oct",44384.99,44160.31,44384.99,40925.14
"14-Nov",44205.76,44384.99,45400.65,43617.24
"14-Dec",43969.96,44205.76,44497.91,41271.58
"15-Jan",45111.03,43969.96,45215.32,41815.67
"15-Feb",47161.83,45111.03,47422.3,44889.12
"15-Mar",46016.98,47161.83,47391.2,45307.15
"15-Apr",48195.48,46016.98,49136.09,45761.37
"15-May",46285.65,48195.48,48861.1,46285.65
"15-Jun",46141.59,46285.65,47517.47,45300.82
"15-Jul",46557.26,46141.59,47616.33,43944.36
"15-Aug",44350.11,46557.26,47427.48,41037.5
"15-Sep",44881.18,44350.11,46574.13,42934.67
"15-Oct",48317.45,44881.18,49100.63,44881.18
"15-Nov",46329.56,48317.45,49228.75,45747.58
"15-Dec",45797.3,46329.56,46735.59,42816.87
"16-Jan",44065.55,45797.3,45797.3,41247.07
"16-Feb",43802.56,44065.55,45027.65,41870.75
"16-Mar",46139.99,43802.56,47844.29,43787.29
"16-Apr",46471,46139.99,47508.34,44855.3
"16-May",47974.09,46471,48678.59,44712.13
"16-Jun",45974.31,47974.09,48197.05,44038.73
"16-Jul",45916.48,45974.31,47051.59,44469.75
"16-Aug",46261.02,45916.48,47173.68,44803.38
"16-Sep",45425.59,46261.02,47438.16,44284.63
"16-Oct",44019.39,45425.59,45687.23,43958.32
"16-Nov",43691.42,44019.39,45369.75,43001.07
"16-Dec",43901.99,43691.42,44568.82,42420.94
"17-Jan",45928.7,43901.99,46872.03,43540.69
"17-Feb",44131.37,45928.7,46412.94,44131.37
"17-Mar",45167.15,44131.37,45774.03,43772.06
"17-Apr",47071.73,45167.15,47243.58,45167.15
"17-May",47153.91,47071.73,48251.64,46633.23
"17-Jun",45421.76,47153.91,47210,44381.91
"17-Jul",48873.13,45421.76,49054.45,45285.27
"17-Aug",49997.27,48873.13,50418.72,48614.97
"17-Sep",49376.46,49997.27,50165.4,48617.44
"17-Oct",52570.2,49376.46,52651.39,49368.76
"17-Nov",53269.83,52570.2,55192.15,52570.2
"17-Dec",52533.04,53269.83,53448.04,50638.73
"18-Jan",54070.95,52809.45,54463.3,52212.7
