"Month","Close","Open","High","Low"
"Jan-00",188.81,173,219.73,173
"Feb-00",191.49,191.59,216.53,186.67
"Mar-00",254.68,198.99,277.82,198.99
"Apr-00",242.85,257.3,258.02,225.28
"May-00",217.05,244.88,254.45,190.54
"Jun-00",194.93,221.1,233.28,189.57
"Jul-00",200.22,199.13,200.22,188.37
"Aug-00",239.03,209.47,245.37,209.47
"Sep-00",204.61,237.54,241.56,189.84
"Oct-00",192.22,207.61,214.46,190.37
"Nov-00",149.84,199.6,199.6,149.84
"Dec-00",144.39,142.47,161.25,130.96
"1-Jan",167.74,135.73,176.92,135.73
"1-Feb",158.1,165.61,183.51,158.1
"1-Mar",166.67,155.42,172,155.42
"1-Apr",178.29,164.38,178.29,156.29
"1-May",207.71,182.37,207.71,181.1
"1-Jun",219.4,210.96,231.04,210.96
"1-Jul",200.64,217.9,221.39,199.35
"1-Aug",193.72,198.78,200.87,185.92
"1-Sep",167.33,197.69,199.74,165.44
"1-Oct",187.41,168.19,187.41,158.34
"1-Nov",213.32,188.78,220.87,188.78
"1-Dec",237.63,212.41,237.63,212.41
"2-Jan",260.77,246.79,273.74,246.79
"2-Feb",262.65,262.13,269.87,250.71
"2-Mar",302.96,270.04,302.96,270.04
"2-Apr",343.33,302.2,347.82,293.08
"2-May",333.61,340.72,355.39,328.81
"2-Jun",304.18,333.75,338.84,290.47
"2-Jul",281.81,306.21,324.24,275.42
"2-Aug",292.23,283.52,307.54,269.55
"2-Sep",289.96,287.58,298.6,282.5
"2-Oct",311.41,288.83,311.45,288.83
"2-Nov",321.41,310.74,322.3,300.07
"2-Dec",318.91,321.41,326.04,298.8
"3-Jan",307.78,318.91,324.89,295.32
"3-Feb",341.52,307.78,341.54,307.78
"3-Mar",325.56,341.52,363.37,322.83
"3-Apr",369.77,325.56,386.96,324.5
"3-May",421.08,369.77,429.65,369.77
"3-Jun",455.44,421.08,461.88,412.43
"3-Jul",430.3,455.44,473.85,386.23
"3-Aug",484,430.3,484.5,417.22
"3-Sep",515.17,484,520.54,484
"3-Oct",468.85,515.17,591.32,448.39
"3-Nov",484.73,468.85,508.84,421.88
"3-Dec",514.71,484.73,525.57,467.46
"4-Jan",551.72,514.71,567.98,514.71
"4-Feb",591.09,551.72,592.05,538.16
"4-Mar",644.64,591.09,648.31,579.98
"4-Apr",561.78,644.64,688.53,547.72
"4-May",535.4,561.78,584.69,503.83
"4-Jun",534.84,535.4,576.31,486.36
"4-Jul",502.81,534.84,560.73,466.39
"4-Aug",549.28,502.81,551.66,488.91
"4-Sep",611.03,549.28,613.56,542.47
"4-Oct",632.97,611.03,710.61,601.67
"4-Nov",570.76,632.97,649.49,565.16
"4-Dec",552.22,570.76,570.88,483.55
"5-Jan",575.74,552.18,583.62,532.26
"5-Feb",635.38,575.74,635.42,572.47
"5-Mar",598.04,635.38,635.83,566.27
"5-Apr",593.88,598.05,634.48,586.34
"5-May",603.89,593.94,606.54,563.24
"5-Jun",639.98,603.89,642.26,596.98
"5-Jul",700.65,639.98,708.89,639.35
"5-Aug",784.28,700.54,788.52,691.79
"5-Sep",892.5,784.28,900.41,748.46
"5-Oct",842.52,892.76,957.16,773.45
"5-Nov",944.55,842.52,954.96,837.81
"5-Dec",1011,944.55,1032.73,944.55
"6-Jan",1171.44,1012.31,1242.08,1011
"6-Feb",1320.83,1171.44,1424.62,1158.12
"6-Mar",1299.19,1320.83,1367.98,1205.3
"6-Apr",1486.85,1299.19,1519,1297.04
"6-May",1281.5,1486.85,1616.32,1120.06
"6-Jun",1331.39,1281.5,1389.21,1062.82
"6-Jul",1380.24,1331.39,1403.18,1255.05
"6-Aug",1448.72,1380.3,1498.67,1363.67
"6-Sep",1367.24,1448.72,1482.21,1253.38
"6-Oct",1426.86,1367.27,1466.82,1304.65
"6-Nov",1550.58,1426.87,1558.83,1426.86
"6-Dec",1693.47,1550.7,1698.44,1546.42
"7-Jan",1656.94,1692.14,1695.5,1528.85
"7-Feb",1655.25,1656.95,1756.85,1608.85
"7-Mar",1698.08,1655.23,1730.36,1484.69
