"Month","Open","High","Low","Close"
"Jan-00",5209.54,5668.28,5184.48,5205.29
"Feb-00",5217.65,6150.69,5127.79,5446.98
"Mar-00",5464.65,5828.79,4867.23,5001.28
"Apr-00",5070.5,5542.81,4284.17,4657.55
"May-00",4736.02,4757.89,3831.86,4433.61
"Jun-00",4406.52,4919.63,4321.26,4748.77
"Jul-00",4846.69,5058.9,4052.61,4279.86
"Aug-00",4295.35,4500.3,4142.81,4477.31
"Sep-00",4571.89,4790.63,4004.73,4090.38
"Oct-00",4035.64,4197.39,3491.55,3711.02
"Nov-00",3749.35,4046.19,3734.98,3997.99
"Dec-00",3968.89,4332.65,3803.69,3972.12
"1-Jan",3990.65,4409.33,3929.37,4326.72
"1-Feb",4303.13,4462.11,4020.68,4247.04
"1-Mar",4288.23,4386.98,3436.75,3604.38
"1-Apr",3491.41,3676.82,3096.51,3519.16
"1-May",3565.53,3759.96,3420.14,3631.91
"1-Jun",3637.03,3651.32,3287.94,3456.78
"1-Jul",3480.06,3513.79,3241.66,3329.28
"1-Aug",3335,3359.07,3241.12,3244.95
"1-Sep",3245.71,3267.93,2594.87,2811.6
"1-Oct",2817.74,3083.65,2718.41,2989.35
"1-Nov",3003.95,3377.81,3003.95,3287.56
"1-Dec",3301.05,3500.2,3100.57,3262.33
"2-Jan",3262.01,3466.73,3236.76,3311.03
"2-Feb",3334.69,3758.11,3290,3562.31
"2-Mar",3551.56,3758.27,3454.27,3469.35
"2-Apr",3482.94,3538.49,3296.88,3338.16
"2-May",3361.33,3478.02,3097.73,3125.73
"2-Jun",3162.27,3377.88,3148.57,3244.7
"2-Jul",3246.44,3366.74,2932.35,2987.65
"2-Aug",2998.46,3185.08,2931.78,3181.23
"2-Sep",3206.81,3227.62,2973.97,2991.36
"2-Oct",2976.04,3038.92,2828.48,2949.32
"2-Nov",2956.94,3245.98,2928.63,3228.82
"2-Dec",3247.6,3413.83,3186.62,3377.28
"3-Jan",3383.85,3416.92,3199.18,3250.38
"3-Feb",3260.04,3341.61,3218.37,3283.66
"3-Mar",3301.67,3311.57,3039.83,3048.72
"3-Apr",3037.54,3221.9,2904.44,2959.79
"3-May",2949.04,3200.48,2934.78,3180.75
"3-Jun",3176.56,3632.84,3170.38,3607.13
"3-Jul",3617.74,3835.75,3534.06,3792.61
"3-Aug",3800.73,4277.64,3722.08,4244.73
"3-Sep",4248.07,4473.57,4097.55,4453.24
"3-Oct",4452.07,4951.11,4432.93,4906.87
"3-Nov",4946.93,5135,4736.7,5044.82
"3-Dec",5086.86,5920.76,5082.82,5838.96
"4-Jan",5872.48,6249.6,5567.68,5695.67
"4-Feb",5715.46,6082.8,5550.17,5667.51
"4-Mar",5649.3,5951.03,5324.78,5590.6
"4-Apr",5599.12,5979.25,5599.12,5655.09
"4-May",5645.86,5772.64,4227.5,4759.62
"4-Jun",4792.01,5012.52,4613.94,4795.46
"4-Jul",4813.76,5200.85,4723.04,5170.32
"4-Aug",5193.25,5269.22,5022.29,5192.08
"4-Sep",5202.16,5638.79,5178.57,5583.61
"4-Oct",5587.46,5803.82,5558.14,5672.27
"4-Nov",5678.65,6248.43,5649.03,6234.29
"4-Dec",6259.28,6617.15,6176.09,6602.69
"5-Jan",6626.49,6696.31,6069.33,6555.94
"5-Feb",6565.21,6721.08,6508.33,6713.86
