"Month","Close","Open","High","Low"
"Jan-00",1535,1368.69,1547.71,1361.21
"Feb-00",1714.58,1591.44,1770.88,1583.58
"Mar-00",1800.22,1720.6,1811.06,1596.07
"Apr-00",1836.32,1799.58,1858.27,1746.3
"May-00",1894.55,1848.17,1908.31,1695.53
"Jun-00",1928.11,1900.53,1953.34,1884.62
"Jul-00",2023.54,1917.44,2025,1888.25
"Aug-00",2021.2,2027.01,2114.52,1980.35
"Sep-00",1910.16,2009.15,2026.35,1874.21
"Oct-00",1961.29,1912.08,1980.63,1896.94
"Nov-00",2070.61,1961.08,2125.72,1959.72
"Dec-00",2073.48,2073.09,2097.29,2024.29
"1-Jan",2065.61,2077.08,2131.98,2007.71
"1-Feb",1959.18,2069.86,2072.55,1893.78
"1-Mar",2112.78,1959.01,2112.88,1953.72
"1-Apr",2119.18,2117.45,2179.74,2081.64
"1-May",2214.26,2119.9,2222.65,2119.89
"1-Jun",2218.03,2216.56,2245.43,2157.12
"1-Jul",1920.32,2220.42,2223.21,1909.3
"1-Aug",1834.14,1925.24,1990.7,1795.57
"1-Sep",1764.87,1831.7,1888.9,1750.76
"1-Oct",1689.17,1766.13,1773.8,1514.86
"1-Nov",1747.99,1692.35,1748,1550.46
"1-Dec",1645.97,1751.05,1776.02,1593.03
"2-Jan",1491.66,1643.48,1643.5,1339.2
"2-Feb",1524.7,1494.58,1544.92,1476.13
"2-Mar",1603.9,1521.53,1693.87,1494.83
"2-Apr",1667.75,1598.03,1680.3,1575.97
"2-May",1515.73,1669.87,1670.92,1506.54
"2-Jun",1732.76,1510.25,1748.89,1455.31
"2-Jul",1651.59,1736.29,1741.92,1647.27
"2-Aug",1666.62,1650.05,1696.28,1624.05
"2-Sep",1581.62,1666.34,1680.28,1577.53
"2-Oct",1507.5,1577.05,1577.05,1488.68
"2-Nov",1434.18,1507.38,1573.1,1353.14
"2-Dec",1357.65,1432.03,1439.85,1348.71
"3-Jan",1499.82,1347.43,1508.59,1311.68
"3-Feb",1511.93,1499.17,1524.75,1474.47
"3-Mar",1510.58,1511.59,1529.75,1447.01
"3-Apr",1521.44,1513,1649.6,1473.27
"3-May",1576.26,1522.98,1581.61,1477.25
"3-Jun",1486.02,1577.99,1582.41,1483.69
"3-Jul",1476.74,1485.52,1540.19,1464.87
"3-Aug",1421.98,1476.47,1497.1,1406.68
"3-Sep",1367.16,1423.35,1456.55,1348.22
"3-Oct",1348.3,1366.2,1411.88,1334.78
"3-Nov",1397.22,1346.48,1423.58,1307.39
"3-Dec",1497.04,1398.71,1525.3,1398.71
"4-Jan",1590.73,1492.72,1634.41,1491.69
"4-Feb",1675.07,1630.65,1730.28,1585.96
"4-Mar",1741.62,1676.22,1760.08,1634.71
"4-Apr",1595.59,1744.71,1783.01,1572.23
"4-May",1555.91,1600.63,1606.07,1508.64
"4-Jun",1399.16,1555.56,1580.57,1376.22
"4-Jul",1386.2,1398.2,1466.78,1366.5
"4-Aug",1342.06,1381.88,1424.55,1310.02
"4-Sep",1396.7,1340.75,1496.21,1259.43
"4-Oct",1320.54,1395.67,1437.57,1289.87
"4-Nov",1340.77,1317.66,1387.34,1290.99
"4-Dec",1266.5,1340.92,1352.45,1264.15
"5-Jan",1191.82,1260.78,1268.86,1189.21
"5-Feb",1306,1189.5,1328.53,1187.26
"5-Mar",1181.24,1305.25,1326.08,1162.03
"5-Apr",1159.15,1180.37,1254.32,1135.73
"5-May",1060.74,1160.62,1165.39,1043.28
"5-Jun",1080.94,1059.61,1146.42,998.23
"5-Jul",1083.03,1077.31,1097.63,1004.08
"5-Aug",1162.8,1082.8,1201.76,1081.12
"5-Sep",1155.61,1163.7,1223.57,1129.05
"5-Oct",1092.82,1153.67,1165.67,1067.41
"5-Nov",1099.26,1091.68,1122.88,1074.3
"5-Dec",1161.06,1098.78,1173.06,1074.01
"6-Jan",1258.05,1163.88,1262.09,1161.91
"6-Feb",1299.03,1251.27,1304.61,1245.92
"6-Mar",1298.3,1299.15,1313.12,1238.16
"6-Apr",1440.22,1298.68,1444.71,1298.68
"6-May",1641.3,1446.99,1678.6,1446.99
"6-Jun",1672.21,1639.67,1695.58,1512.52
"6-Jul",1612.73,1677.31,1757.47,1611.16
"6-Aug",1658.64,1619.63,1667.53,1541.41
"6-Sep",1752.42,1658.66,1755.69,1634.03
"6-Oct",1837.99,1768.14,1842.73,1753.49
"6-Nov",2099.29,1838.68,2102.06,1833.2
"6-Dec",2675.47,2106.3,2698.9,2084.27
"7-Jan",2786.34,2728.19,2994.28,2617.02
"7-Feb",2881.07,2744.81,3049.77,2541.53
"7-Mar",3183.98,2877.2,3273.73,2723.07
"7-Apr",3841.27,3196.59,3851.35,3196.59
