"name","lat","lon","pop","area","rest_count","pizza_count"
"Chowdeswari Ward",13.121709445639,77.58042209477,19626,7.06,0,0
"Atturu",13.1028048689685,77.560037759808,24020,10.15,1,0
"Yelahanka Satellite Town",13.0909866591769,77.5839254307448,25782,4.9,13,5
"Vijnanapura",13.0060632642652,77.6695653043393,35087,2.05,0,0
"Basavanapura",13.016847032689,77.7154564678998,22012,6.28,0,0
"Hudi",13.022375521429,77.7054933252136,20700,15.3,30,8
"Devasandra",13.0017973536303,77.6891215903739,22057,3.52,1,4
"A Narayanapura",12.9944744122469,77.6725826643836,29420,2.15,0,2
"Vijnana Nagar",12.9784929770063,77.6817701253513,24757,5.73,6,0
"HAL Airport",12.9565365691412,77.6715015074689,33066,6.8,0,0
"Dodda Bommasandra",13.0565951296542,77.558692495766,21640,4.2,0,0
"Kuvempu Nagar",13.0720798190444,77.5418693523628,25295,7.59,1,0
"Jakkuru",13.0962502934223,77.6233139550485,20964,23.96,5,0
"Thanisandra",13.0565248615012,77.6224107410182,20402,9.97,14,3
"Byatarayanapura",13.0610706104047,77.5973709782568,31400,9.6,17,7
"Kodigehalli",13.0538455989976,77.5790877633288,21635,3.81,0,0
"Vidyaranyapura",13.0770924126944,77.5694540248082,23136,9.79,4,4
"Ullalu",12.9467161449535,77.4846181877041,20332,8.92,0,0
"Kengeri",12.9150685525484,77.4775276168771,24870,4.77,1,0
"Dodda Bidarakallu",13.0180758679946,77.4845431002247,19349,12.7,0,2
"Herohalli",12.9828072657752,77.4871585444258,19668,7.7,0,0
"Jalahalli",13.046443698847,77.539338786534,29037,5.16,1,0
"Rajarajeshwari Nagar",12.9187572603313,77.5221415116967,23282,11.35,6,6
"J P Park",13.0366283169315,77.5524237413753,35174,2.05,4,0
"Yeshwanthpura",13.0260290008921,77.5538567686232,35972,0.78,0,0
"HMT Ward",13.0319047414786,77.5317054301638,29764,5.21,2,0
"Lakshmi Devi Nagar",13.0206027348153,77.5324717737587,25578,1.33,0,0
"Laggere",13.0076873581854,77.5238999866999,25370,1.58,0,0
"Kottegepalya",12.9824564568696,77.5140904058987,29100,5.84,0,1
"Shettihalli",13.0679966887335,77.5194091911426,28309,8.97,0,0
"Mallasandra",13.0544363601233,77.5151259164154,26253,1.31,0,0
"Bagalakunte",13.0588925021938,77.5002800050134,28306,4.43,0,2
"T Dasarahalli",13.045358023191,77.5147357511792,26050,0.88,0,0
"Chokkasandra",13.0380504145944,77.5063066860491,30117,4,1,0
"Peenya Industrial Area",13.0209017997376,77.5086112760292,27467,5.59,0,0
"Rajagopal Nagar",13.0061996149424,77.5122492470683,28604,2.18,0,0
"Hegganahalli",13.0010055251581,77.5009754398035,30889,1.96,0,0
"Vrisabhavathi Nagar",12.9897724158581,77.5258790256208,34339,0.99,0,0
"Nandini Layout",13.013449936266,77.5341416116112,34318,1.41,0,0
"Marappana Palya",13.0174803547776,77.5462421542391,34002,2.05,1,0
"Nagapura",13.0041261575396,77.5481305165233,35553,1.79,9,0
"Mahalakshimpuram",13.0073496521638,77.540042587153,35976,0.95,0,0
"Shakthi Ganapathi Nagar",12.9950480331202,77.5315839709294,34530,0.7,4,3
"Shankar Matt",12.9999842826119,77.5344077697553,35679,1.08,0,4
"Aramane Nagara",13.0153491711673,77.5770224615771,30397,7.47,33,9
"Mattikere",13.0325895561164,77.5610338494586,35882,0.91,1,0
"Malleswaram",13.0140735271848,77.5616732070745,36321,1.81,3,0
"Rajamahal Guttahalli",13.0013721395302,77.5790601846204,33964,0.73,5,0
"Kadu Malleshwar Ward",13.0023854255042,77.5684910900638,34053,1.36,9,5
"Subramanya Nagar",13.0070401322849,77.5571089856109,34883,0.94,13,6
